valid mae: 6.170319243624711, valid rmse:8.703976737886743
valid mae: 5.785483997714449, valid rmse:8.196223725499578
valid mae: 5.473252947542054, valid rmse:7.80659655381632
valid mae: 5.2628027540886135, valid rmse:7.529240979187424
valid mae: 5.048100857689002, valid rmse:7.27523939735531
valid mae: 4.809319763509247, valid rmse:7.0125431099550966
valid mae: 4.647134373934754, valid rmse:6.807334256177642
valid mae: 4.541666240912502, valid rmse:6.712853345843067
valid mae: 4.403286432234484, valid rmse:6.529890292437299
valid mae: 4.268827502674644, valid rmse:6.359482385158337
valid mae: 4.1740656729671795, valid rmse:6.299757289643405
valid mae: 4.073770399607662, valid rmse:6.208303466098023
valid mae: 3.979162728771296, valid rmse:6.130852798782973
valid mae: 3.8710594133045704, valid rmse:6.000254254487523
valid mae: 3.807648030639749, valid rmse:5.990383638103481
valid mae: 3.730461376166173, valid rmse:5.977695301410343
valid mae: 3.6852280107753037, valid rmse:5.946639259930334
valid mae: 3.6099299211913496, valid rmse:5.844494879359367
valid mae: 3.487085145994989, valid rmse:5.647589350822247
valid mae: 3.434336566986139, valid rmse:5.580105835661718
valid mae: 3.3987607663738895, valid rmse:5.540437750088776
valid mae: 3.313735946551732, valid rmse:5.344348464409826
valid mae: 3.2327065607702554, valid rmse:5.232441018372371
valid mae: 3.217536969084416, valid rmse:5.2104053140675335
valid mae: 3.1613337366790826, valid rmse:5.131841431311764
valid mae: 3.090934895791537, valid rmse:5.046422036634355
valid mae: 3.028340014316629, valid rmse:4.95473585495068
valid mae: 2.980107200850053, valid rmse:4.835332633435753
valid mae: 2.932491531873088, valid rmse:4.803619817722673
valid mae: 2.874289090474638, valid rmse:4.660850126529545
valid mae: 2.8284350475026865, valid rmse:4.626442165701925
valid mae: 2.7776811537866872, valid rmse:4.5612975700974765
valid mae: 2.730169711941963, valid rmse:4.4619347274364465
valid mae: 2.7013141607660063, valid rmse:4.407450700160819
valid mae: 2.687870025003902, valid rmse:4.40842794672319
valid mae: 2.6569435318566597, valid rmse:4.351874153176472
valid mae: 2.6224542683168113, valid rmse:4.329527558704303
valid mae: 2.579362258486777, valid rmse:4.280242594449116
valid mae: 2.5618215633789827, valid rmse:4.266661085278456
valid mae: 2.542330058269594, valid rmse:4.2689525933113615
valid mae: 2.5134166132055804, valid rmse:4.2645276650591555
valid mae: 2.5004739917830703, valid rmse:4.2706933176387
valid mae: 2.471326943462972, valid rmse:4.226313013278213
valid mae: 2.450988968892177, valid rmse:4.147443971298443
valid mae: 2.448712100585302, valid rmse:4.168205231904542
valid mae: 2.4275093845272435, valid rmse:4.181696177142356
valid mae: 2.4064047253248457, valid rmse:4.170213659614068
valid mae: 2.395214554269789, valid rmse:4.160960910905362
valid mae: 2.374884956399536, valid rmse:4.1313867374281585
valid mae: 2.3488728727941726, valid rmse:4.049535704164384
valid mae: 2.3415805714889673, valid rmse:4.0073681975716005
valid mae: 2.3419789415998795, valid rmse:4.0124005518366745
valid mae: 2.33938071633203, valid rmse:4.018763282010038
valid mae: 2.323628694258255, valid rmse:3.9979400651770076
valid mae: 2.284891830823142, valid rmse:3.9130550602053655
valid mae: 2.2831085354612797, valid rmse:3.9111729880650046
valid mae: 2.2672282964917496, valid rmse:3.863402265775643
valid mae: 2.255342064736788, valid rmse:3.8243443857256896
valid mae: 2.234734973857241, valid rmse:3.7775636566001904
valid mae: 2.2273015623147594, valid rmse:3.812972936849842
valid mae: 2.2076366080244703, valid rmse:3.761363064145116
valid mae: 2.2090646443810686, valid rmse:3.752585276201658
valid mae: 2.207423177414992, valid rmse:3.772650303525876
valid mae: 2.1843874474661975, valid rmse:3.7044435532156776
valid mae: 2.1938856790942265, valid rmse:3.730873882950769
valid mae: 2.167052642796648, valid rmse:3.6962749960198633
valid mae: 2.1522675451981295, valid rmse:3.6576752395632055
valid mae: 2.1467786818095917, valid rmse:3.7077771584986907
valid mae: 2.1421075893560024, valid rmse:3.7545640006258205
valid mae: 2.142812875840146, valid rmse:3.742454932803832
valid mae: 2.1344325329673186, valid rmse:3.7458324954877944
valid mae: 2.132592258206294, valid rmse:3.7610962374355963
valid mae: 2.140633877598364, valid rmse:3.787706257206765
valid mae: 2.118510217648419, valid rmse:3.761963534978794
valid mae: 2.1221587317262047, valid rmse:3.7702338983073376
valid mae: 2.1302813385580324, valid rmse:3.8196000533788035
valid mae: 2.1176130063492415, valid rmse:3.828385287022825
valid mae: 2.1311628174152535, valid rmse:3.799963790427674
valid mae: 2.1183393279994895, valid rmse:3.7905696384981424
valid mae: 2.1157645268679177, valid rmse:3.8034599954653445
valid mae: 2.1151790308595375, valid rmse:3.776863507741022
valid mae: 2.110680353020229, valid rmse:3.7875461019932164
valid mae: 2.1197699037842685, valid rmse:3.823132508322444
valid mae: 2.1372086255145355, valid rmse:3.884702083570382
valid mae: 2.1227510191444288, valid rmse:3.838158360888332
valid mae: 2.101319324816123, valid rmse:3.8604821993298244
valid mae: 2.110726324392189, valid rmse:3.8734412954506463
valid mae: 2.1195602897566617, valid rmse:3.8578221742819485
valid mae: 2.1018147325344856, valid rmse:3.8432852791177647
valid mae: 2.103419280979315, valid rmse:3.8529828633794647
valid mae: 2.097503918084333, valid rmse:3.8460755611109496
valid mae: 2.0956383097821014, valid rmse:3.8983877123897526
valid mae: 2.091996744067467, valid rmse:3.899964082696958
valid mae: 2.080581217373363, valid rmse:3.9117407517588623
valid mae: 2.093947251090762, valid rmse:3.9067174956868245
valid mae: 2.09201183921926, valid rmse:3.91677857782133
valid mae: 2.0896507997988123, valid rmse:3.961208658450657
valid mae: 2.087353978729293, valid rmse:3.966751659803566
valid mae: 2.0912071816056232, valid rmse:4.023548796806671
valid mae: 2.0998674212353023, valid rmse:4.0147001628435275
valid mae: 2.083660313841614, valid rmse:3.9842029717709826
valid mae: 2.098290271857416, valid rmse:3.947535543983743
valid mae: 2.099444252633493, valid rmse:3.9821219211979755
